,movie,year,movie_desc,director,cast,votes,ratings,genre,movie_time,desc_lenth,revenue_by_M
55,Gladiator,2000,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Ridley Scott,"Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed",1568005,8.5,"Action, Adventure, Drama",155,129,187.71
56,Inglourious Basterds,2009,In Nazi-occupied France during World War II a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.,Quentin Tarantino,"Brad Pitt,Diane Kruger,Eli Roth,Mélanie Laurent",1530265,8.4,"Adventure, Drama, War",153,175,120.54
57,Harry Potter and the Deathly Hallows - Part 1,2010,As Harry Ron and Hermione race against time and evil to destroy the Horcruxes they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows.,David Yates,"Daniel Radcliffe,Emma Watson,Rupert Grint,Bill Nighy",579930,7.7,"Adventure, Family, Fantasy",146,184,295.98
58,The Dark Knight,2008,When the menace known as the Joker wreaks havoc and chaos on the people of Gotham Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.,Christopher Nolan,"Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine",2789502,9.0,"Action, Crime, Drama",152,188,534.86
59,The Mechanic,2011,An elite hitman teaches his trade to an apprentice who has a connection to one of his previous victims.,Simon West,"Jason Statham,Ben Foster,Donald Sutherland,Tony Goldwyn",167856,6.5,"Action, Crime, Thriller",93,103,29.12
60,The Social Network,2010,As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook he is sued by the twins who claimed he stole their idea and by the co-founder who was later squeezed out of the business.,David Fincher,"Jesse Eisenberg,Andrew Garfield,Justin Timberlake,Rooney Mara",737768,7.8,"Biography, Drama",120,227,96.96
61,Avatar,2009,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,James Cameron,"Sam Worthington,Zoe Saldana,Sigourney Weaver,Michelle Rodriguez",1362535,7.9,"Action, Adventure, Fantasy",162,159,760.51
62,Scott Pilgrim vs. the World,2010,In a magically realistic version of Toronto a young man must defeat his new girlfriend's seven evil exes one by one in order to win her heart.,Edgar Wright,"Michael Cera,Mary Elizabeth Winstead,Kieran Culkin,Anna Kendrick",450592,7.5,"Action, Comedy, Fantasy",112,142,31.49
63,Kick-Ass,2010,Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero even though he has no powers training or meaningful reason to do so.,Matthew Vaughn,"Aaron Taylor-Johnson,Nicolas Cage,Chloë Grace Moretz,Garrett M. Brown",583017,7.6,"Action, Comedy, Crime",117,179,48.07
64,Due Date,2010,High-strung father-to-be Peter Highman is forced to hitch a ride with aspiring actor Ethan Tremblay on a road trip in order to make it to his child's birth on time.,Todd Phillips,"Robert Downey Jr.,Zach Galifianakis,Michelle Monaghan,Jamie Foxx",353572,6.5,"Comedy, Drama",95,164,100.54
65,The Other Guys,2010,Two mismatched New York City detectives seize an opportunity to step up like the city's top cops whom they idolize only things don't quite go as planned.,Adam McKay,"Will Ferrell,Mark Wahlberg,Derek Jeter,Eva Mendes",281805,6.6,"Action, Comedy, Crime",107,153,119.22
66,Twilight, 2008,When Bella Swan moves to a small town in the Pacific Northwest she falls in love with Edward Cullen a mysterious classmate who reveals himself to be a 108-year-old vampire.,Catherine Hardwicke,"Kristen Stewart,Robert Pattinson,Billy Burke,Sarah Clarke",477714,5.3,"Drama, Fantasy, Romance",122,172,192.77
67,Fight Club,1999,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,David Fincher,"Brad Pitt,Edward Norton,Meat Loaf,Zach Grenier",2242099,8.8,Drama,139,118,37.03
68,Batman Begins,2005,After witnessing his parents' death Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman he must stop a secret society that intends to destroy the city.,Christopher Nolan,"Christian Bale,Michael Caine,Ken Watanabe,Liam Neeson",1538564,8.2,"Action, Crime, Drama",140,191,206.85
69,Die Hard,1988,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,John McTiernan,"Bruce Willis,Alan Rickman,Bonnie Bedelia,Reginald VelJohnson",914468,8.2,"Action, Thriller",132,173,83.01
70,Hotel Rwanda,2004,Paul Rusesabagina a hotel manager houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda Africa.,Terry George,"Don Cheadle,Sophie Okonedo,Joaquin Phoenix,Xolani Mali",366288,8.1,"Biography, Drama, History",121,136,23.53
71,Heat,1995,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,Michael Mann,"Al Pacino,Robert De Niro,Val Kilmer,Jon Voight",695457,8.3,"Action, Crime, Drama",170,135,67.44
72,Jaws,1975,When a killer shark unleashes chaos on a beach community off Cape Cod it's up to a local sheriff a marine biologist and an old seafarer to hunt the beast down.,Steven Spielberg,"Roy Scheider,Robert Shaw,Richard Dreyfuss,Lorraine Gary",642047,8.1,"Adventure, Mystery, Thriller",124,159,260.0
73,Snatch,2000,Unscrupulous boxing promoters violent bookmakers a Russian gangster incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.,Guy Ritchie,"Jason Statham,Brad Pitt,Stephen Graham,Vinnie Jones",888481,8.2,"Comedy, Crime",104,174,30.33
74,No Country for Old Men,2007,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,Ethan Coen,"Joel Coen,Tommy Lee Jones,Javier Bardem,Josh Brolin,Woody Harrelson",1026360,8.2,"Crime, Drama, Thriller",122,140,74.28
75,The Lion King,1994,Lion prince Simba and his father are targeted by his bitter uncle who wants to ascend the throne himself.,Roger Allers,"Rob Minkoff,Matthew Broderick,Jeremy Irons,James Earl Jones,Whoopi Goldberg",1109155,8.5,"Animation, Adventure, Drama",88,105,422.78
76,The Big Lebowski,1998,"Jeff ""The Dude"" Lebowski mistaken for a millionaire of the same name seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",Joel Coen,"Ethan Coen,Jeff Bridges,John Goodman,Julianne Moore,Steve Buscemi",840306,8.1,"Comedy, Crime",117,153,17.5
